  Transition        f           A          Lam(A)      i-j    Trans. #

9___ -11___     3.143E-01   2.812E+04   2.233E+05      9- 11    206
9___ -12___     1.083E-01   1.426E+04   1.688E+05      9- 12    207
9___ -13___     5.152E-02   8.188E+03   1.418E+05      9- 13    208
9___ -14___     2.918E-02   5.077E+03   1.258E+05      9- 14    209
9___ -15___     1.843E-02   3.324E+03   1.154E+05      9- 15    210
9___ -16___     1.254E-02   2.267E+03   1.080E+05      9- 16    211
9___ -17___     8.995E-03   1.597E+03   1.026E+05      9- 17    212
9___ -18___     6.719E-03   1.156E+03    98443.52      9- 18    213
9___ -19___     5.180E-03   8.551E+02    95191.37      9- 19    214
9___ -20___     4.094E-03   6.448E+02    92580.12      9- 20    215
9___ -21___     3.303E-03   4.944E+02    90444.99      9- 21    216
9___ -22___     2.711E-03   3.847E+02    88672.46      9- 22    217
9___ -23___     2.258E-03   3.033E+02    87181.85      9- 23    218
9___ -24___     1.904E-03   2.418E+02    85914.35      9- 24    219
9___ -25___     1.623E-03   1.949E+02    84826.11      9- 25    220
9___ -26___     1.396E-03   1.585E+02    83883.81      9- 26    221
9___ -27___     1.212E-03   1.301E+02    83061.73      9- 27    222
9___ -28___     1.059E-03   1.076E+02    82339.68      9- 28    223
9___ -29___     9.317E-04   8.962E+01    81701.65      9- 29    224
9___ -30___     8.246E-04   7.516E+01    81134.78      9- 30    225
10___-11___     2.190E+00   4.374E+04   5.252E+05     10- 11    226
10___-12___     3.408E-01   1.773E+04   2.983E+05     10- 12    227
10___-13___     1.166E-01   9.228E+03   2.233E+05     10- 13    228
10___-14___     5.513E-02   5.414E+03   1.861E+05     10- 14    229
10___-15___     3.109E-02   3.422E+03   1.641E+05     10- 15    230
10___-16___     1.958E-02   2.279E+03   1.496E+05     10- 16    231
10___-17___     1.328E-02   1.577E+03   1.394E+05     10- 17    232
10___-18___     9.515E-03   1.126E+03   1.318E+05     10- 18    233
10___-19___     7.099E-03   8.248E+02   1.261E+05     10- 19    234
10___-20___     5.468E-03   6.170E+02   1.215E+05     10- 20    235
10___-21___     4.319E-03   4.699E+02   1.179E+05     10- 21    236
10___-22___     3.484E-03   3.636E+02   1.149E+05     10- 22    237
10___-23___     2.860E-03   2.853E+02   1.124E+05     10- 23    238
10___-24___     2.382E-03   2.266E+02   1.103E+05     10- 24    239
10___-25___     2.009E-03   1.820E+02   1.085E+05     10- 25    240
10___-26___     1.713E-03   1.476E+02   1.070E+05     10- 26    241
10___-27___     1.474E-03   1.208E+02   1.056E+05     10- 27    242
